timestamp,session_id,cfg,frame,sub_frame,version,platform,time_cpu_cycles,num_detected_obj,num_tlvs,packet_len,tlv_summary,presence_indication,point_count,target_count,target_index_count,vital_count,unknown_tlv_summary
1783488767.599,aop6m_test_02,vital_signs_AOP_6m.cfg,509,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488767.702,aop6m_test_02,vital_signs_AOP_6m.cfg,510,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488767.786,aop6m_test_02,vital_signs_AOP_6m.cfg,511,0,50659332,682051,0,9,3,272,1020:92;1010:112;1021:4,1,9,1,0,0,
1783488767.913,aop6m_test_02,vital_signs_AOP_6m.cfg,512,0,50659332,682051,0,9,5,433,1020:92;1010:112;1011:9;1021:4;1040:136,1,9,1,9,1,
1783488767.957,aop6m_test_02,vital_signs_AOP_6m.cfg,513,0,50659332,682051,0,0,3,189,1010:112;1011:9;1021:4,1,0,1,9,0,
1783488768.061,aop6m_test_02,vital_signs_AOP_6m.cfg,514,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488768.145,aop6m_test_02,vital_signs_AOP_6m.cfg,515,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488768.332,aop6m_test_02,vital_signs_AOP_6m.cfg,516,0,50659332,682051,0,0,2,172,1010:112;1021:4,50594050,0,1,0,0,
1783488768.499,aop6m_test_02,vital_signs_AOP_6m.cfg,518,0,50659332,682051,0,0,2,172,1010:112;1021:4,50594050,0,1,0,0,
1783488768.604,aop6m_test_02,vital_signs_AOP_6m.cfg,520,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488768.687,aop6m_test_02,vital_signs_AOP_6m.cfg,521,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488768.772,aop6m_test_02,vital_signs_AOP_6m.cfg,522,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488768.876,aop6m_test_02,vital_signs_AOP_6m.cfg,523,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488768.960,aop6m_test_02,vital_signs_AOP_6m.cfg,524,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488769.044,aop6m_test_02,vital_signs_AOP_6m.cfg,525,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488769.128,aop6m_test_02,vital_signs_AOP_6m.cfg,526,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488769.233,aop6m_test_02,vital_signs_AOP_6m.cfg,527,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488769.357,aop6m_test_02,vital_signs_AOP_6m.cfg,528,0,50659332,682051,0,0,3,316,1010:112;1021:4;1040:136,1,0,1,0,1,
1783488769.400,aop6m_test_02,vital_signs_AOP_6m.cfg,529,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488769.505,aop6m_test_02,vital_signs_AOP_6m.cfg,530,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488769.589,aop6m_test_02,vital_signs_AOP_6m.cfg,531,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488769.674,aop6m_test_02,vital_signs_AOP_6m.cfg,532,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488769.779,aop6m_test_02,vital_signs_AOP_6m.cfg,533,0,50659332,682051,0,8,3,264,1020:84;1010:112;1021:4,1,8,1,0,0,
1783488769.864,aop6m_test_02,vital_signs_AOP_6m.cfg,534,0,50659332,682051,0,0,3,188,1010:112;1011:8;1021:4,1,0,1,8,0,
1783488769.949,aop6m_test_02,vital_signs_AOP_6m.cfg,535,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488770.116,aop6m_test_02,vital_signs_AOP_6m.cfg,536,0,50659332,682051,0,0,2,172,1010:112;1021:4,50594050,0,1,0,0,
