timestamp,session_id,cfg,frame,sub_frame,point_index,tlv_type,point_format,x_m,y_m,z_m,range_m,azimuth_rad,elevation_rad,doppler_mps,snr_db,noise_db,raw_range,raw_azimuth,raw_elevation,raw_doppler,raw_snr,raw_noise,range_unit,azimuth_unit,elevation_unit,doppler_unit,snr_unit
1783488723.322,aop6m_test_02,vital_signs_AOP_6m.cfg,17,0,7,1020,compressed_spherical,-0.111272,0.736244,-0.143202,0.758250,-0.150000,-0.190000,5.053440,23.359999,,3033,-15,-19,18048,584,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.406,aop6m_test_02,vital_signs_AOP_6m.cfg,18,0,0,1020,compressed_spherical,-0.163854,0.732734,-0.105809,0.758250,-0.220000,-0.140000,-7.580160,21.520000,,3033,-22,-14,-27072,538,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.406,aop6m_test_02,vital_signs_AOP_6m.cfg,18,0,1,1020,compressed_spherical,-0.156518,0.734336,-0.105809,0.758250,-0.210000,-0.140000,-7.580160,25.639999,,3033,-21,-14,-27072,641,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.406,aop6m_test_02,vital_signs_AOP_6m.cfg,18,0,2,1020,compressed_spherical,-0.149167,0.735865,-0.105809,0.758250,-0.200000,-0.140000,-7.580160,29.999999,,3033,-20,-14,-27072,750,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.406,aop6m_test_02,vital_signs_AOP_6m.cfg,18,0,3,1020,compressed_spherical,-0.141801,0.737320,-0.105809,0.758250,-0.190000,-0.140000,-7.580160,33.999999,,3033,-19,-14,-27072,850,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.406,aop6m_test_02,vital_signs_AOP_6m.cfg,18,0,4,1020,compressed_spherical,-0.134421,0.738701,-0.105809,0.758250,-0.180000,-0.140000,-7.580160,36.879999,,3033,-18,-14,-27072,922,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.406,aop6m_test_02,vital_signs_AOP_6m.cfg,18,0,5,1020,compressed_spherical,-0.147007,0.807864,-0.024641,0.821500,-0.180000,-0.030000,-7.580160,20.360000,,3286,-18,-3,-27072,509,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.406,aop6m_test_02,vital_signs_AOP_6m.cfg,18,0,6,1020,compressed_spherical,-0.127027,0.740008,-0.105809,0.758250,-0.170000,-0.140000,-7.580160,37.519999,,3033,-17,-14,-27072,938,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.406,aop6m_test_02,vital_signs_AOP_6m.cfg,18,0,7,1020,compressed_spherical,-0.109682,0.679654,-0.097017,0.695250,-0.160000,-0.140000,3.000480,27.999999,,2781,-16,-14,10716,700,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.406,aop6m_test_02,vital_signs_AOP_6m.cfg,18,0,8,1020,compressed_spherical,-0.119621,0.741241,-0.105809,0.758250,-0.160000,-0.140000,-7.580160,35.999999,,3033,-16,-14,-27072,900,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.406,aop6m_test_02,vital_signs_AOP_6m.cfg,18,0,9,1020,compressed_spherical,-0.094275,0.623779,-0.037897,0.632000,-0.150000,-0.060000,8.527680,9.640000,,2528,-15,-6,30456,241,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
