timestamp,session_id,cfg,frame,sub_frame,point_index,target_index,raw_target_index
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,19,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,20,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,21,254,254
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,22,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,23,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,24,254,254
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,25,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,26,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,27,254,254
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,28,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,29,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,30,254,254
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,31,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,32,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,33,254,254
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,34,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,35,254,254
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,36,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,37,254,254
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,38,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,39,254,254
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,40,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,41,254,254
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,42,0,0
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,43,254,254
1783488724.150,aop6m_test_02,vital_signs_AOP_6m.cfg,26,0,44,254,254
1783488724.239,aop6m_test_02,vital_signs_AOP_6m.cfg,27,0,0,0,0
1783488724.239,aop6m_test_02,vital_signs_AOP_6m.cfg,27,0,1,0,0
1783488724.239,aop6m_test_02,vital_signs_AOP_6m.cfg,27,0,2,0,0
1783488724.239,aop6m_test_02,vital_signs_AOP_6m.cfg,27,0,3,0,0
1783488724.239,aop6m_test_02,vital_signs_AOP_6m.cfg,27,0,4,0,0
1783488724.239,aop6m_test_02,vital_signs_AOP_6m.cfg,27,0,5,0,0
1783488724.239,aop6m_test_02,vital_signs_AOP_6m.cfg,27,0,6,0,0
1783488724.239,aop6m_test_02,vital_signs_AOP_6m.cfg,27,0,7,0,0
1783488724.239,aop6m_test_02,vital_signs_AOP_6m.cfg,27,0,8,0,0
1783488724.239,aop6m_test_02,vital_signs_AOP_6m.cfg,27,0,9,0,0
1783488724.239,aop6m_test_02,vital_signs_AOP_6m.cfg,27,0,10,0,0
1783488724.239,aop6m_test_02,vital_signs_AOP_6m.cfg,27,0,11,0,0
