"main_label","person_count","lying_count","moving_count","breathing_count","scenario_note","source","estimated_time_sec","frame","num_detected_obj","num_tlvs","packet_len","tlv_summary","has_vital","target_id","range_bin","breath_deviation","heart_rate","breath_rate","raw_radar","raw_vital"
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","119.43","1330","0","2","172","1010:112;1021:4","0","","","","","","RADAR,1330,0,2,172,1010:112;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","119.97","1336","0","2","172","1010:112;1021:4","0","","","","","","RADAR,1336,0,2,172,1010:112;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","120.51","1342","0","2","172","1010:112;1021:4","0","","","","","","RADAR,1342,0,2,172,1010:112;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","121.05","1348","0","2","172","1010:112;1021:4","0","","","","","","RADAR,1348,0,2,172,1010:112;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","121.59","1354","0","1","52","1021:4","0","","","","","","RADAR,1354,0,1,52,1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","122.13","1360","0","2","196","1021:4;1040:136","1","0","22","0.0282","63.6","11.7","RADAR,1360,0,2,196,1021:4;1040:136","VITAL,1360,id=0,rangeBin=22,breathDev=0.0282,heartRate=63.6,breathRate=11.7"
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","122.76","1367","0","1","52","1021:4","0","","","","","","RADAR,1367,0,1,52,1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","123.30","1373","0","1","52","1021:4","0","","","","","","RADAR,1373,0,1,52,1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","123.84","1379","0","1","52","1021:4","0","","","","","","RADAR,1379,0,1,52,1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","124.38","1385","18","2","224","1020:164;1021:4","0","","","","","","RADAR,1385,18,2,224,1020:164;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","124.92","1391","137","4","1375","1020:1116","0","","","","","","RADAR,1391,137,4,1375,1020:1116",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","125.55","1398","121","4","1181","1020:988","0","","","","","","RADAR,1398,121,4,1181,1020:988",""
